Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
104.72994,85.98828,6.7585325,2.496898,74.85566,879.65027,945.8235,129.44423,105.158615,146.67015,918.49316,8.032684,18.80692,2
105.24097,81.66081,6.9179206,3.111015,74.83447,919.28735,913.1834,112.1655,103.49795,145.17091,923.54724,8.930434,18.74507,2
106.10391,82.04125,7.061317,3.0494118,74.87426,917.2126,912.92084,116.61087,105.52534,145.53467,924.7328,9.191166,18.851667,2
104.45486,80.75721,6.8680587,2.9858887,74.68913,880.28235,900.9963,132.75946,102.5737,144.64609,929.4839,9.110757,18.93534,1
107.710495,89.86804,6.966712,2.6189811,74.93814,919.0409,907.5594,127.649796,101.28853,144.30069,926.3855,9.102551,18.852863,1
103.858795,80.72835,6.8485484,3.417879,74.74164,891.4048,911.24585,120.32277,105.96525,145.06892,924.5074,8.842472,18.51305,1
104.0202,81.61779,7.082901,3.4674077,74.71623,879.96875,938.4903,122.03787,105.35785,144.62099,926.4535,8.894895,18.66954,1
104.31566,82.65535,6.8603745,3.0751367,74.65042,902.6763,909.0713,115.084465,104.61904,143.09064,948.4846,8.347831,18.8331,2
104.15411,83.41805,6.8516645,3.8743563,74.773094,881.0783,945.3003,125.07044,106.28713,145.37837,921.9688,8.339449,18.798204,2
105.4139,87.812325,6.855342,3.2117782,74.85506,915.9245,898.31903,116.64338,103.72164,145.43498,924.78577,8.888708,18.559444,1
104.287636,81.03418,7.1149845,3.252198,74.70428,879.73047,901.246,135.10164,103.25284,145.04619,927.9432,9.14319,18.860472,1
106.79758,85.37962,6.9597034,2.5515208,74.86997,877.92554,900.4695,119.3819,103.50464,144.96687,927.4584,8.978165,18.590977,1
104.545975,86.85567,7.012376,3.9766805,74.77066,917.8462,983.8442,127.1854,105.34011,146.27437,923.9877,8.607862,18.688313,1
105.711624,90.84763,6.890628,2.3518598,75.17782,871.64923,953.68835,114.25037,102.09537,146.97421,925.01953,8.525825,18.551205,2
104.83428,83.23269,7.2518716,3.8696637,75.05491,919.4095,920.52466,126.388985,104.30245,145.30714,935.0985,8.644565,18.907152,2
104.05302,80.89632,6.931094,3.2392387,74.81411,885.0412,903.436,131.07388,103.23,145.85469,923.1477,8.481185,18.971214,2
104.25384,83.6911,6.960387,4.1137614,74.760124,916.3203,968.73846,117.89073,105.50895,146.5833,926.6129,8.875498,18.732796,1
106.60162,90.68479,6.889036,2.593566,75.32137,890.76605,914.75195,109.13839,105.24308,147.07468,923.7724,8.660382,18.852547,2
104.19246,82.8617,6.9388533,3.653588,74.82551,881.7172,927.4011,114.06205,104.826645,145.00566,927.43304,8.419238,18.53577,2
104.158905,80.05049,9.326284,3.0363243,74.66389,882.3367,903.0442,130.71606,102.630844,145.35545,928.9056,9.130559,18.954273,1
104.11862,80.753456,7.015859,3.1929357,74.69267,918.3663,910.2485,118.229416,104.58296,144.51486,930.41437,8.583459,18.597595,2
104.058464,81.326904,6.9022145,3.2613873,74.828445,917.6112,908.48505,119.07452,103.93247,145.29677,926.15466,8.506991,18.752491,2
105.20975,84.327866,6.923513,3.2126083,74.896255,919.3517,902.7515,120.27148,102.409584,145.0885,925.34656,9.157503,18.743343,2
104.543816,86.58427,6.9575915,3.4593964,74.82748,919.40967,907.4935,117.49361,101.788246,144.23062,924.6139,8.869044,18.872608,2
105.36045,85.43423,6.784399,2.8456597,74.84018,881.9034,901.41144,112.7605,105.69198,145.29585,925.8922,8.951283,18.58431,1
105.04535,81.18472,6.9149756,2.7865303,75.102715,912.8292,918.70294,121.875565,104.49648,146.92683,919.6255,8.857751,18.673561,2
107.0953,80.42027,7.0674806,2.432944,74.83383,879.4961,906.7921,120.82315,102.22876,144.4169,927.17786,9.166988,18.74792,1
103.92772,81.70963,6.885024,3.8125563,74.794785,917.08636,916.59204,108.98515,106.319954,145.21585,923.1308,8.862587,18.661533,1
107.13656,82.43008,6.9262075,3.1287787,75.00017,886.2602,911.57416,125.89156,103.852806,146.24654,927.47845,8.999734,18.878906,2
104.42061,79.75441,10.297573,3.53596,74.73758,886.68256,911.5021,129.43681,102.601425,146.03337,929.41394,8.789496,18.961443,1
105.31021,88.68084,6.7735925,2.858972,74.92698,878.705,934.54785,114.99513,105.99348,146.42691,922.3528,7.9401193,18.578978,1
104.24203,83.08539,8.33815,2.8433979,74.74113,898.9887,903.3104,116.22316,102.71137,144.64818,927.76025,8.930142,18.67346,1
104.00494,80.91279,6.907995,3.612006,74.65587,880.70764,907.1101,127.96582,104.182205,144.7459,931.17896,8.747621,18.933956,1
104.38456,83.535904,6.8722005,3.06194,74.77003,917.4946,909.4152,115.58179,102.74417,144.34001,935.42554,8.745305,18.617805,2
105.84792,80.850044,6.978873,3.3974917,74.7599,877.8507,905.5363,120.09265,104.23661,145.517,928.2191,9.074609,18.66448,1
106.5086,81.54501,7.085033,2.9805436,74.85132,918.50256,910.87616,121.97542,102.52306,145.65228,927.52313,9.160252,18.931646,2
104.285515,83.28089,6.929729,3.114668,74.804405,882.4011,908.58655,121.243195,104.0364,145.33823,933.21075,8.679676,18.951336,2
105.86254,81.530304,7.056026,2.7617235,74.7914,919.38904,926.4094,117.523605,101.79928,144.82066,926.48474,9.014173,18.744822,1
105.42796,80.25279,6.760641,3.441022,74.76835,889.84094,900.0763,116.94371,104.29744,145.93478,929.21155,8.89164,18.565952,1
105.279625,84.77023,7.119775,2.8849473,74.79353,919.4093,917.6559,121.31459,100.94176,144.2823,924.27344,8.975948,18.73055,1
105.07824,85.127594,6.834805,2.801466,74.95391,883.28906,915.23065,120.80901,104.36803,145.91206,923.56775,8.524738,18.917551,2
104.25179,82.03656,6.934989,3.129331,74.85221,919.1148,907.24335,120.15202,105.63839,146.04909,920.3821,9.023735,18.680708,2
104.61818,81.73242,7.872879,2.8056676,74.83802,915.0179,914.0662,117.96584,104.52597,145.03528,945.35547,8.789473,18.822418,2
104.292,81.2167,6.7724376,3.416287,74.80121,879.98474,910.20044,115.81154,106.85905,145.47375,924.7703,8.358986,18.623386,2
103.93276,82.448364,6.991262,3.4800735,75.03093,883.6628,906.9541,130.61131,103.160286,146.74173,925.1013,8.0738,18.972551,2
104.35272,82.34845,6.934569,3.251777,74.69598,918.1058,909.58765,117.18991,104.170105,144.0817,946.5152,8.463886,18.879137,2
104.40154,84.4996,6.988743,3.2515538,74.67723,878.36316,967.83167,127.48453,104.641266,144.57141,926.0591,8.870374,18.763725,1
106.3978,89.612785,9.575593,3.2139876,74.78662,916.613,910.2947,132.82512,101.565,143.29808,928.77844,8.927366,18.759151,1
106.9717,91.538605,6.9207387,2.243948,75.521095,875.12305,937.8149,108.72801,104.49394,147.29593,919.7726,7.6281633,18.664452,2
104.48547,86.45605,6.881361,2.7710786,74.77527,895.2434,923.78925,113.641884,104.76494,144.93404,924.06683,8.347196,18.539438,1
104.12048,81.41573,6.9777083,3.7083707,74.65123,890.70905,905.381,129.48633,105.114746,144.04808,929.4937,8.792857,18.872616,1
107.67165,91.76693,7.4717927,3.006878,75.09183,909.86334,897.9072,123.63869,101.8499,145.94168,925.6529,8.556287,18.758484,2
103.98796,80.77435,6.7961745,3.8398159,74.75179,878.17737,917.04156,117.196655,107.25408,144.71516,920.00903,8.777472,18.685484,1
105.526596,88.83535,7.2427473,4.135676,74.643425,877.345,977.5478,143.605,105.46035,145.12852,926.8956,9.234755,18.772438,1
106.33258,80.90019,6.9791465,3.4947362,74.87863,883.4282,913.8897,122.814896,104.05439,146.40387,928.8781,8.626089,18.839554,2
104.430786,81.93984,7.06293,3.525248,74.772964,919.1441,906.326,115.83995,103.468445,144.58768,933.5912,8.764833,18.888487,1
104.03288,82.13871,6.9694567,3.7891886,74.70478,879.86615,942.0341,126.06781,104.944954,144.78484,924.5689,8.506346,18.730297,1
104.603455,80.60783,6.8554153,3.776413,74.77912,878.8723,907.2991,113.04146,107.19231,145.19125,923.5272,8.90494,18.628902,1
104.76612,86.42342,7.123636,2.8779242,74.74934,919.398,901.467,118.64199,101.858406,143.00562,935.5758,8.566256,18.724394,1
104.65102,80.7661,6.73023,4.1011004,74.7207,893.1055,904.2549,113.24357,105.31308,146.46738,930.18677,8.969722,18.637524,1
104.52561,84.69372,6.8973837,2.7453613,74.81572,874.218,972.94183,121.25602,104.66206,145.91359,923.4113,8.575457,18.63766,2
105.24303,86.78675,7.506646,2.830536,75.01637,878.4024,904.1936,121.41305,104.34808,146.3702,928.10474,8.773262,18.857584,2
104.1061,80.74453,6.8712897,3.4440627,74.69443,885.1843,913.19,123.41478,105.73126,143.8768,928.6272,8.759865,18.693941,1
105.27388,85.757225,7.1588087,3.1228316,74.629265,875.1195,992.68054,119.68042,99.83807,145.1576,929.53845,8.604764,18.74607,2
103.96256,80.9843,6.931518,4.099575,74.664536,882.7907,933.4169,122.31093,107.35652,144.10953,924.8806,8.87599,18.795357,1
104.827156,88.27199,6.8818398,3.043944,74.922485,914.7981,900.8476,115.06959,104.83392,145.81633,923.31683,8.717226,18.713266,2
104.366615,81.35564,7.1591296,3.1091592,74.93981,900.7149,925.7007,118.56973,103.599266,146.46263,926.6283,8.843512,18.753801,2
104.40936,83.58224,6.8734055,3.3865376,74.94242,877.8547,916.1152,125.9076,103.21545,144.82828,934.3822,8.62938,18.855568,2
105.46046,82.002174,6.880488,2.7749357,75.02391,908.9061,911.1786,120.05264,105.9349,146.47557,920.30994,9.061987,18.755936,2
104.17078,81.23351,6.9031873,3.3536873,74.82871,893.1031,903.63446,120.94648,104.675095,145.80565,923.9271,8.678484,18.965664,2
105.597145,86.32183,7.2016673,3.1685247,74.77684,919.3031,906.08167,135.19923,101.65619,143.67145,925.3602,8.761782,18.726059,1
104.38206,82.93226,7.4557753,3.3268194,74.925095,919.40906,914.462,123.46094,102.749756,145.28745,920.7529,9.134643,18.871784,2
104.154335,82.038734,7.359023,2.8203213,74.75566,911.3649,908.8251,114.41353,103.65935,144.70435,925.5973,8.754784,18.572723,1
103.98152,81.60661,7.0346823,3.3778722,74.731346,918.4167,935.99915,113.103134,104.886604,144.53271,924.13245,8.646785,18.652054,2
105.7776,90.35181,6.9483824,2.9312398,74.88906,919.36957,896.0552,113.079544,101.86348,144.56897,925.26587,9.063766,18.757786,1
105.834625,85.47114,6.787009,2.5767565,75.00561,879.0622,916.72424,114.957085,106.774826,146.7175,922.7776,8.311019,18.756046,2
104.30384,82.290245,8.582212,2.903376,74.7669,902.1341,901.6216,117.296875,103.42196,144.70554,928.1739,8.910967,18.925337,1
104.13816,81.40485,7.2086487,3.1796155,74.717064,877.6671,918.0465,124.41599,105.78763,144.05768,933.0471,8.974341,18.869219,1
105.823074,80.36433,6.981717,2.9051726,74.74234,877.6499,902.3371,128.9753,103.62905,144.49857,926.4354,9.00608,18.730625,1
104.23221,83.03,6.847147,3.015526,74.85335,918.4982,905.4045,109.671555,106.52224,144.24936,920.9387,9.072279,18.74902,2
105.56878,88.07167,7.689899,2.8444254,74.833305,881.3556,897.1579,117.52448,102.896385,144.44235,928.28674,9.164248,18.686972,1
103.99344,81.506424,7.0650086,3.8317327,74.703896,919.2335,925.86237,109.49376,105.974915,143.60101,927.98914,8.615596,18.695972,1
104.569885,82.4537,8.680365,3.0128663,74.92124,903.4806,904.7973,116.101166,103.77374,145.42798,926.39185,8.847369,18.65389,2
104.57994,81.77906,9.039999,2.774553,74.76842,915.08484,908.13824,117.38389,103.51629,144.3285,933.94904,8.6059675,18.803387,2
104.61386,82.80318,6.9130716,3.5731313,75.51805,917.1291,918.9161,119.02808,104.26595,146.72334,921.8965,8.919692,18.65408,2
104.394356,82.89981,6.8378906,2.9454763,74.86031,919.2139,913.407,112.810684,103.045784,145.72748,923.14954,8.689515,18.518171,2
104.9633,85.74396,9.435912,3.1212318,74.94527,892.0797,910.32605,116.120514,103.37627,145.67386,930.87524,8.869115,18.94399,2
106.6178,81.29274,6.9259524,3.989971,74.681274,878.4122,901.8504,130.61661,102.28165,146.2559,934.7948,9.198279,18.798471,1
104.33065,79.50197,7.2155385,3.4888637,74.7318,919.35065,945.8506,116.698975,102.863945,145.47394,931.7306,8.743056,18.773176,2
106.19329,85.46773,6.9637465,3.0079634,74.771866,919.23334,900.0153,128.77664,101.12839,143.24022,927.29724,8.973986,18.745228,1
107.580765,84.47376,6.985187,2.1221077,74.95823,918.58124,926.43286,119.25674,102.627716,146.11281,924.11084,8.911352,18.8282,2
104.175,83.23536,6.9846196,3.0769956,74.77503,919.39545,907.1132,112.5066,103.79295,144.40146,923.72534,8.8956585,18.66088,1
106.69252,89.43379,6.993729,2.23574,75.011345,878.23724,965.14343,115.77804,102.87412,146.98755,925.35846,8.236147,18.727179,2
106.85615,81.59378,7.1560516,4.0633826,74.80337,915.57855,924.79266,129.56963,104.805244,146.5308,935.0322,8.851398,18.828552,1
104.5695,87.93463,6.9228673,3.0687428,74.77143,918.2988,900.11975,114.849106,101.81669,143.32314,934.40906,8.611343,18.659843,1
104.12567,82.08987,6.9814844,3.4942114,74.728424,880.5294,945.41254,125.214615,106.245926,144.09404,922.6672,8.841396,18.753635,2
104.05272,83.52481,7.1276774,3.9994476,74.74816,919.40753,949.0905,111.41785,103.89551,145.42403,925.00415,8.740797,18.730604,1
106.21016,83.19493,7.0925317,4.345647,74.74168,911.8247,914.7325,134.1751,105.097694,146.94157,936.3605,9.085116,18.839737,1
105.01904,84.71292,7.916588,3.892131,74.69447,880.80914,910.80676,144.7662,105.0099,145.03812,926.63513,9.23257,18.727552,1
104.12792,80.900826,7.6435013,2.8312762,74.711296,879.0631,902.94086,126.625946,103.47087,145.0622,927.4614,9.082315,18.47398,1
104.143326,81.82323,6.8570447,3.6879869,74.69777,878.3731,923.9969,122.73976,106.533104,144.42542,936.72,8.4848995,18.892338,2
105.29295,89.34694,7.264985,3.1371398,74.84209,895.3002,906.0791,119.75744,101.974754,143.75922,938.5597,8.9193945,18.716148,2
104.063934,81.60658,6.763119,4.2714214,74.64013,883.7556,911.02155,127.79696,105.81728,145.76158,928.71204,8.52895,18.843979,1
104.0739,81.777214,6.951878,3.0245416,74.61605,912.8782,911.6212,120.278755,103.176216,143.83475,931.9052,8.890019,18.51426,1
104.02923,81.228745,6.869941,4.193402,74.72104,913.2483,902.74414,113.120476,103.48736,146.49217,930.9463,8.452245,18.862381,1
105.47982,79.78159,11.3414135,2.8028426,74.697845,894.8335,929.5005,133.81439,105.66545,143.4797,946.92096,8.845946,18.9664,1
105.30885,87.148834,6.765677,2.6892831,75.29801,875.0831,927.78284,112.84162,106.78359,147.14929,919.2501,7.549681,18.69235,2
104.121185,81.469666,7.3009205,2.8508852,74.74896,882.606,900.7791,131.40858,104.23382,144.61702,929.0679,8.946235,18.915775,1
105.50542,82.4961,6.844023,2.6178327,74.83056,878.6456,913.0309,129.90231,103.840294,145.69016,921.8472,8.615103,18.729036,1
104.21028,82.11326,6.883222,3.043219,74.841194,880.655,904.433,124.90089,105.53505,145.58981,922.9777,8.50645,18.91133,2
104.17132,80.54982,8.5433035,3.3305686,74.628555,882.5363,904.3503,129.7845,102.22228,144.8634,936.8172,8.840637,18.965086,1
107.322075,90.38066,6.806881,2.5463998,75.931694,886.78577,929.9659,117.71103,102.51968,147.37486,915.8191,7.6781774,18.946783,2
104.19483,83.56595,6.7702274,3.5964057,74.857704,879.6334,940.07697,119.990746,107.36074,145.798,918.92017,8.335122,18.77248,2
104.25659,82.21107,7.0059247,3.3484788,74.92795,878.16425,905.72906,119.583176,104.76422,145.25319,926.20807,8.62512,18.82886,2
104.661865,80.579506,9.936766,2.906293,74.66754,885.93994,917.29987,126.286194,104.81207,143.46396,949.1112,8.866787,18.967302,1
106.28214,82.122055,7.088574,3.592101,74.790924,886.14325,908.58014,138.33347,103.88879,144.86203,930.693,9.015886,18.664902,1
106.56414,81.90901,7.0633698,3.1874545,74.85155,916.1066,913.6112,118.86651,103.51436,146.1544,931.1786,9.090426,18.79068,1
104.080826,81.8499,6.8629146,3.7513003,74.753494,918.3341,911.3175,111.61266,106.205,144.77087,927.40466,8.796766,18.780233,1
104.91543,80.72041,8.109604,2.5718126,74.76697,890.86774,903.4604,120.279396,103.497696,144.95897,927.4313,8.819854,18.545021,1
105.88533,81.96406,6.97418,3.3104753,74.782974,918.352,909.71967,117.79554,103.99075,145.09464,930.8139,9.068451,18.726334,1
